,POSTCODE,STEMERG,STAYHOME,FM_ALL,STEMERG_days,STAYHOME_days,FM_ALL_days,Population,Total Deaths
3,AL,2020-03-13,2020-04-04,2020-07-16,72.0,94.0,197.0,7278717,4300.0
4,AK,2020-03-11,2020-03-28,2020-04-24,70.0,87.0,114.0,3017804,21797.0
5,AZ,2020-03-11,2020-03-31,,70.0,90.0,,39512223,1173.0
6,AR,2020-03-11,,2020-07-20,70.0,,201.0,5758736,6891.0
7,CA,2020-03-04,2020-03-19,2020-06-18,63.0,78.0,169.0,3565287,91853.0
8,CO,2020-03-11,2020-03-26,2020-07-16,70.0,85.0,197.0,973764,9925.0
9,CT,2020-03-10,,2020-04-20,69.0,,110.0,705749,2977.0
10,DE,2020-03-13,2020-03-24,2020-04-28,72.0,83.0,118.0,21477737,15163.0
11,DC,2020-03-11,2020-04-01,2020-07-22,70.0,91.0,203.0,10617423,665.0
12,FL,2020-03-09,2020-04-03,,68.0,93.0,,164229,4583.0
13,GA,2020-03-14,2020-04-03,,73.0,93.0,,1415872,3102.0
14,HI,2020-03-04,2020-03-25,2020-11-16,63.0,84.0,320.0,1787065,2017.0
15,ID,2020-03-13,2020-03-25,,72.0,84.0,,12671821,17969.0
16,IL,2020-03-09,2020-03-21,2020-05-01,68.0,80.0,121.0,6732219,23013.0
17,IN,2020-03-06,2020-03-25,2020-07-27,65.0,84.0,208.0,3155070,2414.0
18,IA,2020-03-09,,2020-11-17,68.0,,321.0,2913314,1846.0
19,KS,2020-03-12,2020-03-30,2020-07-03,71.0,89.0,184.0,4467673,20267.0
20,KY,2020-03-06,,2020-07-10,65.0,,191.0,4648794,5058.0
21,LA,2020-03-11,2020-03-23,2020-08-07,70.0,82.0,219.0,1344212,43137.0
22,ME,2020-03-15,2020-04-02,2020-05-01,74.0,92.0,121.0,6045680,18652.0
23,MD,2020-03-05,2020-03-30,2020-04-18,64.0,89.0,108.0,6892503,20562.0
24,MA,2020-03-10,2020-03-24,2020-05-06,69.0,83.0,126.0,9986857,32317.0
25,MI,2020-03-10,2020-03-24,2020-04-27,69.0,83.0,117.0,5639632,35721.0
26,MN,2020-03-13,2020-03-28,2020-07-25,72.0,87.0,206.0,2976149,10630.0
27,MS,2020-03-14,2020-04-03,2020-08-05,73.0,93.0,217.0,6626371,92442.0
28,MO,2020-03-13,2020-04-06,,72.0,96.0,,1068778,4031.0
29,MT,2020-03-12,2020-03-28,2020-07-15,71.0,87.0,196.0,1934408,8278.0
30,NE,2020-03-13,,,72.0,,,3080156,9298.0
31,NV,2020-03-12,2020-03-31,2020-06-26,71.0,90.0,177.0,1359711,1371.0
32,NH,2020-03-13,2020-03-28,2020-11-20,72.0,87.0,324.0,8882190,4764.0
33,NJ,2020-03-09,2020-03-21,2020-04-08,68.0,80.0,98.0,2096829,2421.0
34,NM,2020-03-11,2020-03-24,2020-05-15,70.0,83.0,135.0,19453561,64009.0
35,NY,2020-03-07,2020-03-22,2020-04-17,66.0,81.0,107.0,10488084,19724.0
36,NC,2020-03-10,2020-03-30,2020-06-26,69.0,89.0,177.0,762062,488575.0
37,ND,2020-03-13,,2020-11-14,72.0,,318.0,55144,2397.0
38,OH,2020-03-09,2020-03-24,2020-07-23,68.0,83.0,204.0,11689100,47197.0
39,OK,2020-03-15,,,74.0,,,3956971,11073.0
40,OR,2020-03-08,2020-03-23,2020-07-01,67.0,82.0,182.0,4217737,37699.0
41,PA,2020-03-06,2020-04-01,2020-07-01,65.0,91.0,182.0,12801989,31478.0
42,RI,2020-03-09,2020-03-28,2020-05-08,68.0,87.0,128.0,3754939,2586.0
43,SC,2020-03-13,2020-04-07,,72.0,97.0,,1059361,3381.0
44,SD,2020-03-13,,,72.0,,,5148714,174983.0
45,TN,2020-03-12,2020-04-02,,71.0,92.0,,884659,4920.0
46,TX,2020-03-13,,2020-07-03,72.0,,184.0,6829174,9501.0
47,UT,2020-03-06,,2020-04-10,65.0,,100.0,28995881,43786.0
48,VT,2020-03-13,2020-03-24,2020-08-01,72.0,83.0,213.0,3205958,412455.0
49,VA,2020-03-12,2020-03-30,2020-05-29,71.0,89.0,149.0,623989,3045.0
50,WA,2020-02-29,2020-03-23,2020-06-26,59.0,82.0,177.0,107268,179632.0
51,WV,2020-03-16,2020-03-24,2020-07-07,75.0,83.0,188.0,8535519,67250.0
52,WI,2020-03-12,2020-03-25,2020-08-01,71.0,84.0,213.0,7614893,
53,WY,2020-03-13,,2020-12-09,72.0,,343.0,1792147,934.0
