POSTCODE,STEMERG,STAYHOME,FM_ALL,STEMERG_days,STAYHOME_days,FM_ALL_days
State Abbreviation,,,,,,
note,,,,,,
text,,,,,,
AL,2020-03-13,2020-04-04,2020-07-16,72.0,94.0,197.0
AK,2020-03-11,2020-03-28,2020-04-24,70.0,87.0,114.0
AZ,2020-03-11,2020-03-31,,70.0,90.0,
AR,2020-03-11,,2020-07-20,70.0,,201.0
CA,2020-03-04,2020-03-19,2020-06-18,63.0,78.0,169.0
CO,2020-03-11,2020-03-26,2020-07-16,70.0,85.0,197.0
CT,2020-03-10,,2020-04-20,69.0,,110.0
DE,2020-03-13,2020-03-24,2020-04-28,72.0,83.0,118.0
DC,2020-03-11,2020-04-01,2020-07-22,70.0,91.0,203.0
FL,2020-03-09,2020-04-03,,68.0,93.0,
GA,2020-03-14,2020-04-03,,73.0,93.0,
HI,2020-03-04,2020-03-25,2020-11-16,63.0,84.0,320.0
ID,2020-03-13,2020-03-25,,72.0,84.0,
IL,2020-03-09,2020-03-21,2020-05-01,68.0,80.0,121.0
IN,2020-03-06,2020-03-25,2020-07-27,65.0,84.0,208.0
IA,2020-03-09,,2020-11-17,68.0,,321.0
KS,2020-03-12,2020-03-30,2020-07-03,71.0,89.0,184.0
KY,2020-03-06,,2020-07-10,65.0,,191.0
LA,2020-03-11,2020-03-23,2020-08-07,70.0,82.0,219.0
ME,2020-03-15,2020-04-02,2020-05-01,74.0,92.0,121.0
MD,2020-03-05,2020-03-30,2020-04-18,64.0,89.0,108.0
MA,2020-03-10,2020-03-24,2020-05-06,69.0,83.0,126.0
MI,2020-03-10,2020-03-24,2020-04-27,69.0,83.0,117.0
MN,2020-03-13,2020-03-28,2020-07-25,72.0,87.0,206.0
MS,2020-03-14,2020-04-03,2020-08-05,73.0,93.0,217.0
MO,2020-03-13,2020-04-06,,72.0,96.0,
MT,2020-03-12,2020-03-28,2020-07-15,71.0,87.0,196.0
NE,2020-03-13,,,72.0,,
NV,2020-03-12,2020-03-31,2020-06-26,71.0,90.0,177.0
NH,2020-03-13,2020-03-28,2020-11-20,72.0,87.0,324.0
NJ,2020-03-09,2020-03-21,2020-04-08,68.0,80.0,98.0
NM,2020-03-11,2020-03-24,2020-05-15,70.0,83.0,135.0
NY,2020-03-07,2020-03-22,2020-04-17,66.0,81.0,107.0
NC,2020-03-10,2020-03-30,2020-06-26,69.0,89.0,177.0
ND,2020-03-13,,2020-11-14,72.0,,318.0
OH,2020-03-09,2020-03-24,2020-07-23,68.0,83.0,204.0
OK,2020-03-15,,,74.0,,
OR,2020-03-08,2020-03-23,2020-07-01,67.0,82.0,182.0
PA,2020-03-06,2020-04-01,2020-07-01,65.0,91.0,182.0
RI,2020-03-09,2020-03-28,2020-05-08,68.0,87.0,128.0
SC,2020-03-13,2020-04-07,,72.0,97.0,
SD,2020-03-13,,,72.0,,
TN,2020-03-12,2020-04-02,,71.0,92.0,
TX,2020-03-13,,2020-07-03,72.0,,184.0
UT,2020-03-06,,2020-04-10,65.0,,100.0
VT,2020-03-13,2020-03-24,2020-08-01,72.0,83.0,213.0
VA,2020-03-12,2020-03-30,2020-05-29,71.0,89.0,149.0
WA,2020-02-29,2020-03-23,2020-06-26,59.0,82.0,177.0
WV,2020-03-16,2020-03-24,2020-07-07,75.0,83.0,188.0
WI,2020-03-12,2020-03-25,2020-08-01,71.0,84.0,213.0
WY,2020-03-13,,2020-12-09,72.0,,343.0
